Bitstring,Cost
"(1, 0, 0, 0, 1, 0, 0, 1, 1)",19187.0
"(0, 1, 0, 0, 0, 1, 0, 0, 0)",19210.0
"(0, 0, 0, 0, 0, 0, 1, 0, 0)",19239.0
"(1, 1, 1, 1, 1, 0, 1, 0, 0)",22738.0
"(0, 1, 1, 1, 1, 0, 1, 0, 1)",22757.0
"(1, 0, 1, 1, 1, 1, 1, 0, 0)",22767.0
"(1, 1, 0, 1, 1, 0, 1, 1, 0)",22769.0
"(1, 1, 0, 1, 1, 0, 0, 0, 1)",22769.0
"(1, 1, 1, 1, 0, 0, 0, 1, 1)",22771.0
"(1, 1, 1, 0, 1, 0, 1, 1, 0)",22784.0
"(1, 1, 1, 0, 1, 0, 0, 0, 1)",22784.0
"(0, 0, 1, 1, 1, 1, 1, 0, 1)",22786.0
"(0, 1, 0, 1, 1, 0, 1, 1, 1)",22788.0
"(1, 0, 0, 1, 1, 1, 0, 0, 1)",22798.0
"(1, 0, 0, 1, 1, 1, 1, 1, 0)",22798.0
"(1, 0, 1, 1, 0, 1, 0, 1, 1)",22800.0
"(0, 1, 1, 0, 1, 0, 1, 1, 1)",22803.0
"(1, 0, 1, 0, 1, 1, 0, 0, 1)",22813.0
"(1, 0, 1, 0, 1, 1, 1, 1, 0)",22813.0
"(1, 1, 0, 0, 1, 0, 0, 1, 1)",22815.0
"(0, 0, 0, 1, 1, 1, 1, 1, 1)",22817.0
"(0, 0, 1, 0, 1, 1, 1, 1, 1)",22832.0
"(1, 0, 0, 0, 1, 1, 0, 1, 1)",22844.0
"(0, 1, 0, 0, 0, 0, 0, 0, 0)",22867.0
"(0, 0, 0, 0, 0, 1, 0, 0, 0)",22896.0
"(1, 1, 1, 1, 1, 1, 1, 0, 0)",26713.0
"(0, 1, 1, 1, 1, 1, 1, 0, 1)",26732.0
"(1, 0, 1, 1, 1, 0, 0, 1, 0)",26742.0
"(1, 1, 0, 1, 1, 1, 1, 1, 0)",26744.0
"(1, 1, 0, 1, 1, 1, 0, 0, 1)",26744.0
"(1, 1, 1, 1, 0, 1, 0, 1, 1)",26746.0
"(1, 1, 1, 0, 1, 1, 1, 1, 0)",26759.0
"(1, 1, 1, 0, 1, 1, 0, 0, 1)",26759.0
"(0, 0, 1, 1, 1, 0, 0, 1, 1)",26761.0
"(0, 1, 0, 1, 1, 1, 1, 1, 1)",26763.0
"(1, 0, 0, 1, 1, 0, 1, 0, 1)",26773.0
"(1, 0, 1, 1, 0, 0, 1, 1, 1)",26775.0
"(0, 1, 1, 0, 1, 1, 1, 1, 1)",26778.0
"(1, 0, 1, 0, 1, 0, 1, 0, 1)",26788.0
"(1, 1, 0, 0, 1, 1, 0, 1, 1)",26790.0
"(1, 0, 0, 0, 1, 0, 1, 1, 1)",26819.0
"(0, 0, 0, 0, 0, 0, 0, 0, 0)",26871.0
"(1, 1, 1, 1, 1, 0, 0, 1, 0)",31006.0
"(0, 1, 1, 1, 1, 0, 0, 1, 1)",31025.0
"(1, 0, 1, 1, 1, 1, 0, 1, 0)",31035.0
"(1, 1, 0, 1, 1, 0, 1, 0, 1)",31037.0
"(1, 1, 1, 1, 0, 0, 1, 1, 1)",31039.0
"(1, 1, 1, 0, 1, 0, 1, 0, 1)",31052.0
"(0, 0, 1, 1, 1, 1, 0, 1, 1)",31054.0
"(1, 0, 0, 1, 1, 1, 1, 0, 1)",31066.0
"(1, 0, 1, 1, 0, 1, 1, 1, 1)",31068.0
"(1, 0, 1, 0, 1, 1, 1, 0, 1)",31081.0
"(1, 1, 0, 0, 1, 0, 1, 1, 1)",31083.0
"(1, 0, 0, 0, 1, 1, 1, 1, 1)",31112.0
"(1, 1, 1, 1, 1, 1, 0, 1, 0)",35617.0
"(0, 1, 1, 1, 1, 1, 0, 1, 1)",35636.0
"(1, 0, 1, 1, 1, 0, 1, 1, 0)",35646.0
"(1, 0, 1, 1, 1, 0, 0, 0, 1)",35646.0
"(1, 1, 0, 1, 1, 1, 1, 0, 1)",35648.0
"(1, 1, 1, 1, 0, 1, 1, 1, 1)",35650.0
"(1, 1, 1, 0, 1, 1, 1, 0, 1)",35663.0
"(0, 0, 1, 1, 1, 0, 1, 1, 1)",35665.0
"(1, 0, 0, 1, 1, 0, 0, 1, 1)",35677.0
"(1, 0, 1, 0, 1, 0, 0, 1, 1)",35692.0
"(1, 1, 0, 0, 1, 1, 1, 1, 1)",35694.0
"(1, 1, 1, 1, 1, 0, 1, 1, 0)",40546.0
"(1, 1, 1, 1, 1, 0, 0, 0, 1)",40546.0
"(0, 1, 1, 1, 1, 0, 1, 1, 1)",40565.0
"(1, 0, 1, 1, 1, 1, 1, 1, 0)",40575.0
"(1, 0, 1, 1, 1, 1, 0, 0, 1)",40575.0
"(1, 1, 0, 1, 1, 0, 0, 1, 1)",40577.0
"(1, 1, 1, 0, 1, 0, 0, 1, 1)",40592.0
"(0, 0, 1, 1, 1, 1, 1, 1, 1)",40594.0
"(1, 0, 0, 1, 1, 1, 0, 1, 1)",40606.0
"(1, 0, 1, 0, 1, 1, 0, 1, 1)",40621.0
"(1, 1, 1, 1, 1, 1, 1, 1, 0)",45793.0
"(1, 1, 1, 1, 1, 1, 0, 0, 1)",45793.0
"(0, 1, 1, 1, 1, 1, 1, 1, 1)",45812.0
"(1, 0, 1, 1, 1, 0, 1, 0, 1)",45822.0
"(1, 1, 0, 1, 1, 1, 0, 1, 1)",45824.0
"(1, 1, 1, 0, 1, 1, 0, 1, 1)",45839.0
"(1, 0, 0, 1, 1, 0, 1, 1, 1)",45853.0
"(1, 0, 1, 0, 1, 0, 1, 1, 1)",45868.0
"(1, 1, 1, 1, 1, 0, 1, 0, 1)",51358.0
"(1, 0, 1, 1, 1, 1, 1, 0, 1)",51387.0
"(1, 1, 0, 1, 1, 0, 1, 1, 1)",51389.0
"(1, 1, 1, 0, 1, 0, 1, 1, 1)",51404.0
"(1, 0, 0, 1, 1, 1, 1, 1, 1)",51418.0
"(1, 0, 1, 0, 1, 1, 1, 1, 1)",51433.0
"(1, 1, 1, 1, 1, 1, 1, 0, 1)",57241.0
"(1, 0, 1, 1, 1, 0, 0, 1, 1)",57270.0
"(1, 1, 0, 1, 1, 1, 1, 1, 1)",57272.0
"(1, 1, 1, 0, 1, 1, 1, 1, 1)",57287.0
"(1, 1, 1, 1, 1, 0, 0, 1, 1)",63442.0
"(1, 0, 1, 1, 1, 1, 0, 1, 1)",63471.0
"(1, 1, 1, 1, 1, 1, 0, 1, 1)",69961.0
"(1, 0, 1, 1, 1, 0, 1, 1, 1)",69990.0
"(1, 1, 1, 1, 1, 0, 1, 1, 1)",76798.0
"(1, 0, 1, 1, 1, 1, 1, 1, 1)",76827.0
"(1, 1, 1, 1, 1, 1, 1, 1, 1)",83953.0
