Bitstring,Cost
"(1, 0, 1, 0, 0, 1, 0, 1, 0)",586.0
"(1, 0, 1, 0, 0, 1, 0, 0, 0)",586.0
"(1, 1, 0, 0, 0, 0, 1, 0, 1)",588.0
"(1, 1, 0, 0, 0, 0, 0, 1, 0)",588.0
"(0, 0, 0, 1, 0, 1, 0, 0, 1)",590.0
"(0, 0, 0, 1, 0, 1, 1, 1, 0)",590.0
"(0, 0, 0, 1, 0, 1, 0, 1, 1)",590.0
"(0, 0, 0, 0, 1, 1, 0, 0, 1)",603.0
"(0, 0, 0, 0, 1, 1, 1, 1, 0)",603.0
"(0, 0, 0, 0, 1, 1, 1, 0, 0)",603.0
"(0, 0, 1, 0, 0, 1, 0, 0, 1)",605.0
"(0, 0, 1, 0, 0, 1, 0, 1, 1)",605.0
"(0, 0, 1, 0, 0, 1, 1, 1, 0)",605.0
"(0, 1, 0, 0, 0, 0, 0, 1, 1)",607.0
"(1, 0, 0, 0, 0, 1, 1, 0, 1)",617.0
"(1, 0, 0, 0, 0, 1, 0, 1, 0)",617.0
"(0, 0, 0, 0, 0, 1, 0, 1, 1)",636.0
"(1, 1, 1, 1, 0, 1, 0, 0, 0)",1306.0
"(0, 0, 1, 1, 1, 0, 0, 0, 0)",1321.0
"(0, 1, 0, 1, 1, 1, 1, 0, 0)",1323.0
"(0, 1, 1, 1, 0, 1, 1, 1, 0)",1325.0
"(0, 1, 1, 1, 0, 1, 0, 0, 1)",1325.0
"(0, 1, 1, 1, 0, 1, 0, 0, 0)",1325.0
"(1, 0, 1, 1, 0, 0, 1, 0, 0)",1335.0
"(1, 1, 0, 1, 0, 1, 0, 1, 0)",1337.0
"(0, 1, 1, 0, 1, 1, 1, 0, 0)",1338.0
"(1, 1, 0, 0, 1, 1, 0, 0, 0)",1350.0
"(1, 1, 1, 0, 0, 1, 0, 1, 0)",1352.0
"(0, 0, 0, 1, 1, 0, 0, 1, 0)",1352.0
"(0, 0, 1, 1, 0, 0, 1, 0, 1)",1354.0
"(0, 0, 1, 1, 0, 0, 1, 0, 0)",1354.0
"(0, 1, 0, 1, 0, 1, 0, 1, 0)",1356.0
"(0, 1, 0, 1, 0, 1, 0, 1, 1)",1356.0
"(1, 0, 0, 1, 0, 0, 0, 0, 0)",1366.0
"(1, 0, 0, 1, 0, 0, 0, 0, 1)",1366.0
"(1, 0, 0, 1, 0, 0, 1, 1, 0)",1366.0
"(0, 0, 1, 0, 1, 0, 0, 1, 0)",1367.0
"(0, 1, 0, 0, 1, 1, 0, 0, 1)",1369.0
